Model,Metric_Class,Validation_Value,Test_Value
Model 1: CE,mIoU / Average IoU,0.6463,62.9334
Model 1: CE,Pixel Accuracy,0.9419,
Model 1: CE,Mean Accuracy,0.7448,
Model 1: CE,road,0.9731,97.6802
Model 1: CE,sidewalk,0.7877,79.1737
Model 1: CE,building,0.8934,89.0668
Model 1: CE,wall,0.3983,36.992
Model 1: CE,fence,0.4117,35.8673
Model 1: CE,pole,0.5278,48.9772
Model 1: CE,traffic light,0.5193,53.1862
Model 1: CE,traffic sign,0.6484,60.8376
Model 1: CE,vegetation,0.9024,90.8523
Model 1: CE,terrain,0.5787,68.158
Model 1: CE,sky,0.9383,94.0387
Model 1: CE,person,0.6904,72.4769
Model 1: CE,rider,0.4219,45.9638
Model 1: CE,car,0.9181,92.3217
Model 1: CE,truck,0.5130,40.005
Model 1: CE,bus,0.6785,49.6714
Model 1: CE,train,0.4873,39.8273
Model 1: CE,motorcycle,0.3440,42.1184
Model 1: CE,bicycle,0.6480,58.52
Model 2: Vanilla Unet Dice + CE,mIoU / Average IoU,0.6617,64.9197
Model 2: Vanilla Unet Dice + CE,Pixel Accuracy,0.9410,
Model 2: Vanilla Unet Dice + CE,Mean Accuracy,0.7565,
Model 2: Vanilla Unet Dice + CE,road,0.9708,97.5482
Model 2: Vanilla Unet Dice + CE,sidewalk,0.7751,78.4244
Model 2: Vanilla Unet Dice + CE,building,0.8895,88.5609
Model 2: Vanilla Unet Dice + CE,wall,0.3980,36.3806
Model 2: Vanilla Unet Dice + CE,fence,0.4172,37.131
Model 2: Vanilla Unet Dice + CE,pole,0.5264,49.6027
Model 2: Vanilla Unet Dice + CE,traffic light,0.5861,59.5664
Model 2: Vanilla Unet Dice + CE,traffic sign,0.6691,63.2854
Model 2: Vanilla Unet Dice + CE,vegetation,0.8996,90.651
Model 2: Vanilla Unet Dice + CE,terrain,0.5765,67.8567
Model 2: Vanilla Unet Dice + CE,sky,0.9321,93.8587
Model 2: Vanilla Unet Dice + CE,person,0.7166,74.8278
Model 2: Vanilla Unet Dice + CE,rider,0.4900,55.0374
Model 2: Vanilla Unet Dice + CE,car,0.9135,92.1805
Model 2: Vanilla Unet Dice + CE,truck,0.5382,43.6811
Model 2: Vanilla Unet Dice + CE,bus,0.6918,51.7564
Model 2: Vanilla Unet Dice + CE,train,0.5086,43.5639
Model 2: Vanilla Unet Dice + CE,motorcycle,0.3908,47.1231
